date,value
1960-01-01,3.696699
1961-01-01,3.704259
1962-01-01,4.979019
1963-01-01,5.648142
1964-01-01,6.232381
1965-01-01,6.553704
1966-01-01,6.864858
1967-01-01,7.603724000000001
1968-01-01,6.04576
1969-01-01,4.933738
1970-01-01,3.862077
1971-01-01,4.798851
1972-01-01,5.448268
1973-01-01,5.963303
1974-01-01,4.624056
1975-01-01,6.426124
1976-01-01,7.208664999999999
1977-01-01,8.735447
1978-01-01,10.70951
1979-01-01,10.16499
1980-01-01,12.02765
1981-01-01,5.725894
1982-01-01,6.3758040000000005
1983-01-01,6.151433
1984-01-01,6.211186
1985-01-01,5.991077
1986-01-01,7.528403999999999
1987-01-01,6.563389
1988-01-01,6.010203
1989-01-01,5.042701
1990-01-01,4.948029
1991-01-01,4.9923910000000005
1992-01-01,8.171615
1993-01-01,6.940135000000001
1994-01-01,7.994165
1995-01-01,6.489207
1996-01-01,6.1507760000000005
1997-01-01,7.012975
1998-01-01,7.608675
1999-01-01,8.15269
2000-01-01,8.218356
2001-01-01,9.843123
2002-01-01,8.07
2003-01-01,8.896879
2004-01-01,8.451014
2005-01-01,8.425303
2006-01-01,8.111025
2007-01-01,14.83889
2008-01-01,20.77596
2009-01-01,19.60351
2010-01-01,13.0498
2011-01-01,10.80762
2012-01-01,10.42606
2013-01-01,11.39537
2014-01-01,13.13093
2015-01-01,12.92666
2016-01-01,14.597220000000002
2017-01-01,12.77731
2018-01-01,10.17949
2019-01-01,10.43072
2020-01-01,11.22812
2021-01-01,12.22845
