date,value
1960-01-01,1217230094.97205
1961-01-01,1302674324.88378
1962-01-01,1382515654.47343
1963-01-01,1540797588.57221
1964-01-01,1731296199.52296
1965-01-01,2053462968.0426
1966-01-01,2126300672.22965
1967-01-01,1747187644.9031
1968-01-01,1666909517.65205
1969-01-01,1962050555.7775
1970-01-01,2215028588.45646
1971-01-01,2417108577.52739
1972-01-01,2112293279.98507
1973-01-01,3006766758.43977
1974-01-01,2894409937.8882
1975-01-01,2810106382.97872
1976-01-01,2765254237.28814
1977-01-01,3189428571.42857
1978-01-01,3662478184.99127
1979-01-01,4020227920.22792
1980-01-01,4445228215.76763
1981-01-01,4222441860.46512
1982-01-01,4035994397.7591
1983-01-01,4057275132.27513
1984-01-01,4412279843.44423
1985-01-01,4504306722.68908
1986-01-01,5735677433.82683
1987-01-01,5074829931.97279
1988-01-01,5197765031.64557
1989-01-01,5251858439.874
1990-01-01,5889106573.46088
1991-01-01,6603185267.79643
1992-01-01,6416103925.83267
1993-01-01,5968922939.37198
1994-01-01,5446383726.77047
1995-01-01,6464382807.67884
1996-01-01,6932991739.37767
1997-01-01,6891443192.24985
1998-01-01,7482069162.42008
1999-01-01,7718109982.26093
2000-01-01,4982850662.20851
2001-01-01,5314872854.4405
2002-01-01,6166197847.85031
2003-01-01,7632723555.66221
2004-01-01,8881417906.71432
2005-01-01,10744568381.4456
2006-01-01,20885037596.6963
2007-01-01,24827339138.4906
2008-01-01,28679383241.0729
2009-01-01,26048720005.5233
2010-01-01,32197655566.5347
2011-01-01,39336668080.559
2012-01-01,41271701060.954
2013-01-01,62845721959.827
2014-01-01,54678533805.9064
2015-01-01,49436806230.4839
2016-01-01,56144179397.8516
2017-01-01,60385409434.8567
2018-01-01,67259353965.6087
2019-01-01,68352629246.1555
2020-01-01,70008243859.8666
2021-01-01,79514204730.3979
2022-01-01,73919003209.9866
2023-01-01,80547146878.3843
2024-01-01,82825288888.9734
