date,value
1960-01-01,791265459.493816
1961-01-01,792959472.816211
1962-01-01,868111400.75544
1963-01-01,926589349.36426
1964-01-01,998759334.496266
1965-01-01,997919320.832272
1966-01-01,1164519674.19213
1967-01-01,1232559506.9762
1968-01-01,1353295458.68182
1969-01-01,1458379416.64823
1970-01-01,1603447358.62106
1971-01-01,1778391288.64348
1972-01-01,2107279157.08834
1973-01-01,2509001324.34591
1974-01-01,2969958812.01648
1975-01-01,3259345083.26283
1976-01-01,3474542391.69992
1977-01-01,4494378764.32011
1978-01-01,5303735110.55151
1979-01-01,6234391113.46434
1980-01-01,7265315820.20777
1981-01-01,6854491705.88377
1982-01-01,6431579356.95926
1983-01-01,5979198313.76093
1984-01-01,6191437070.18411
1985-01-01,6135034213.78998
1986-01-01,7239126568.14092
1987-01-01,7970820369.2949
1988-01-01,8355380879.12955
1989-01-01,8283114514.17081
1990-01-01,8572359038.16958
1991-01-01,8151488783.19064
1992-01-01,8209120763.04955
1993-01-01,5751786642.55871
1994-01-01,7148148564.04239
1995-01-01,9046320255.40507
1996-01-01,12045865396.1323
1997-01-01,13115764358.2846
1998-01-01,14093998843.7334
1999-01-01,12896010459.3711
2000-01-01,12705350097.8044
2001-01-01,12986007425.8781
2002-01-01,13147736898.5176
2003-01-01,14904517649.8476
2004-01-01,16095337093.8366
2005-01-01,18737895512.7378
2006-01-01,25825512284.2891
2007-01-01,31958195182.2406
2008-01-01,35895153327.8497
2009-01-01,42347217912.9176
2010-01-01,45405615063.7551
2011-01-01,46869473150.61
2012-01-01,56396704671.5777
2013-01-01,61671440407.8387
2014-01-01,68285796514.2896
2015-01-01,70120446896.8359
2016-01-01,74815144163.8931
2017-01-01,82036510877.2599
2018-01-01,92202979985.2863
2019-01-01,100378436207.371
2020-01-01,100657505750.545
2021-01-01,109703658904.994
2022-01-01,114448978152.637
2023-01-01,108038588970.595
2024-01-01,124498691699.125
