date,value
1960-01-01,4196174501.5302
1961-01-01,4467287893.08484
1962-01-01,4909399176.24033
1963-01-01,5165590253.7639
1964-01-01,5552931318.82747
1965-01-01,5874537650.18494
1966-01-01,6366917453.23302
1967-01-01,5203237918.70483
1968-01-01,5200997919.60083
1969-01-01,6634317346.27306
1970-01-01,12546094981.562
1971-01-01,9181769911.50443
1972-01-01,12274416017.7976
1973-01-01,15162871287.1287
1974-01-01,24846641318.1242
1975-01-01,27778934624.6973
1976-01-01,36308883248.731
1977-01-01,36035407725.3219
1978-01-01,36527862208.7133
1979-01-01,47259911894.2731
1980-01-01,64201788122.6054
1981-01-01,164475209515.939
1982-01-01,142769363314.176
1983-01-01,97094911792.0489
1984-01-01,73484359521.4887
1985-01-01,73745821158.2254
1986-01-01,54805852580.9129
1987-01-01,52676041931.1087
1988-01-01,49648470440.4593
1989-01-01,44003061108.4005
1990-01-01,54035795387.8086
1991-01-01,59526833412.3581
1992-01-01,52058181853.8055
1993-01-01,56721051402.4732
1994-01-01,80399613063.6364
1995-01-01,140919776986.364
1996-01-01,185730236700.0
1997-01-01,200850397618.182
1998-01-01,218416200672.727
1999-01-01,59145077039.1437
2000-01-01,69171451627.2465
2001-01-01,73557840064.489
2002-01-01,95054059302.6995
2003-01-01,104738954264.226
2004-01-01,135764731645.611
2005-01-01,175670569969.346
2006-01-01,238454997161.48
2007-01-01,278260846800.103
2008-01-01,339476276257.793
2009-01-01,295008835380.997
2010-01-01,366990417129.04
2011-01-01,414466676831.16
2012-01-01,463971018239.281
2013-01-01,520117180313.906
2014-01-01,574183763411.508
2015-01-01,493026682800.63
2016-01-01,404649125252.16
2017-01-01,375745731053.427
2018-01-01,421739251509.08
2019-01-01,474517490844.461
2020-01-01,432198898467.795
2021-01-01,440833635873.827
2022-01-01,477403400101.174
2023-01-01,363846332834.618
2024-01-01,187759703099.801
