date,value
1961-01-01,12.30579
1962-01-01,11.80493
1963-01-01,13.17519
1964-01-01,13.69499
1965-01-01,13.76263
1966-01-01,12.6112
1967-01-01,14.58428
1968-01-01,12.89001
1969-01-01,12.72919
1970-01-01,15.11892
1971-01-01,17.43254
1972-01-01,16.48605
1973-01-01,17.893320000000003
1974-01-01,17.97643
1975-01-01,17.333170000000003
1976-01-01,16.82709
1977-01-01,17.5086
1978-01-01,21.71203
1979-01-01,20.97326
1980-01-01,21.81178
1981-01-01,21.00308
1982-01-01,20.43702
1983-01-01,19.32301
1984-01-01,18.9864
1985-01-01,19.33408
1986-01-01,19.31199
1987-01-01,18.41642
1988-01-01,18.92614
1989-01-01,19.22448
1990-01-01,18.65653
1991-01-01,19.958070000000003
1992-01-01,22.15245
1993-01-01,18.4962
1994-01-01,19.83416
1995-01-01,25.63371
1996-01-01,21.51431
1997-01-01,24.21847
1998-01-01,23.81171
1999-01-01,26.41732
2000-01-01,25.61516
2001-01-01,25.07094
2002-01-01,25.70175
2003-01-01,24.99475
2004-01-01,27.13177
2005-01-01,26.13135
2006-01-01,22.76717
2007-01-01,22.93319
2008-01-01,25.28173
2009-01-01,21.79445
2010-01-01,23.90335
2011-01-01,27.23066
2012-01-01,26.35451
2013-01-01,28.26076
2014-01-01,34.46131
2015-01-01,36.64779
2016-01-01,35.5254
2017-01-01,33.109840000000005
2018-01-01,31.16267
2019-01-01,30.74407
2020-01-01,32.00558
2021-01-01,30.91435
