date,value
1991-01-01,11.633
1992-01-01,13.794
1993-01-01,22.198
1994-01-01,25.788
1995-01-01,40.689
1996-01-01,37.012
1997-01-01,32.265
1998-01-01,27.73
1999-01-01,30.512
2000-01-01,32.348
2001-01-01,37.036
2002-01-01,41.378
2003-01-01,32.933
2004-01-01,29.544
2005-01-01,26.207
2006-01-01,23.777
2007-01-01,20.241
2008-01-01,18.927
2009-01-01,21.184
2010-01-01,19.381
2011-01-01,18.71
2012-01-01,18.34
2013-01-01,19.555
2014-01-01,19.137
2015-01-01,20.27
2016-01-01,21.793
2017-01-01,22.843
2018-01-01,23.845
2019-01-01,25.842
2020-01-01,30.428
2021-01-01,23.373
2022-01-01,19.004
2023-01-01,17.946
2024-01-01,21.188
