date,value
1991-01-01,12.763
1992-01-01,13.119
1993-01-01,11.406
1994-01-01,12.353
1995-01-01,13.261
1996-01-01,14.628
1997-01-01,16.616
1998-01-01,19.251
1999-01-01,20.639
2000-01-01,20.327
2001-01-01,20.019
2002-01-01,20.603
2003-01-01,21.382
2004-01-01,20.034
2005-01-01,21.399
2006-01-01,19.883
2007-01-01,18.795
2008-01-01,17.556
2009-01-01,19.774
2010-01-01,18.242
2011-01-01,16.928
2012-01-01,15.854
2013-01-01,15.7
2014-01-01,15.496
2015-01-01,19.493
2016-01-01,26.596
2017-01-01,28.594
2018-01-01,27.958
2019-01-01,27.098
2020-01-01,30.267
2021-01-01,28.311
2022-01-01,20.732
2023-01-01,17.938
2024-01-01,17.95
