date,value
1991-01-01,5.482
1992-01-01,7.404
1993-01-01,8.234
1994-01-01,9.212
1995-01-01,10.112
1996-01-01,11.042
1997-01-01,11.913
1998-01-01,12.799
1999-01-01,15.759
2000-01-01,16.311
2001-01-01,15.266
2002-01-01,14.161
2003-01-01,12.977
2004-01-01,11.801
2005-01-01,10.636
2006-01-01,9.474
2007-01-01,9.971
2008-01-01,10.271
2009-01-01,10.815
2010-01-01,11.103
2011-01-01,8.879
2012-01-01,6.738
2013-01-01,4.762
2014-01-01,9.364
2015-01-01,14.238
2016-01-01,10.526
2017-01-01,6.32
2018-01-01,6.099
2019-01-01,5.907
2020-01-01,6.399
2021-01-01,6.117
2022-01-01,5.505
2023-01-01,5.482
2024-01-01,5.413
