date,value
1991-01-01,6.228
1992-01-01,6.478
1993-01-01,6.676
1994-01-01,6.68
1995-01-01,6.527
1996-01-01,6.428
1997-01-01,6.551
1998-01-01,6.633
1999-01-01,6.747
2000-01-01,6.774
2001-01-01,6.788
2002-01-01,6.892
2003-01-01,6.837
2004-01-01,6.827
2005-01-01,6.667
2006-01-01,6.585
2007-01-01,6.576
2008-01-01,6.848
2009-01-01,7.035
2010-01-01,7.053
2011-01-01,6.932
2012-01-01,6.953
2013-01-01,7.186
2014-01-01,7.255
2015-01-01,7.3
2016-01-01,7.333
2017-01-01,9.096
2018-01-01,10.817
2019-01-01,12.547
2020-01-01,13.649
2021-01-01,12.232
2022-01-01,12.187
2023-01-01,12.012
2024-01-01,11.93
