date,value
1991-01-01,7.972
1992-01-01,7.881
1993-01-01,8.206
1994-01-01,8.213
1995-01-01,8.309
1996-01-01,8.12
1997-01-01,7.975
1998-01-01,7.893
1999-01-01,7.98
2000-01-01,7.945
2001-01-01,7.888
2002-01-01,7.592
2003-01-01,7.587
2004-01-01,7.571
2005-01-01,7.851
2006-01-01,7.933
2007-01-01,8.056
2008-01-01,8.098
2009-01-01,8.102
2010-01-01,8.116
2011-01-01,8.183
2012-01-01,8.136
2013-01-01,7.984
2014-01-01,8.349
2015-01-01,8.751
2016-01-01,9.318
2017-01-01,9.835
2018-01-01,10.208
2019-01-01,10.423
2020-01-01,10.851
2021-01-01,9.049
2022-01-01,6.01
2023-01-01,5.128
2024-01-01,5.052
